,Unnamed: 0,id,observed_on,description,latitude,longitude,map_scale,timeframe,species_guess,user_id,taxon_id,created_at,updated_at,place_guess,id_please,observed_on_string,iconic_taxon_id,num_identification_agreements,num_identification_disagreements,time_observed_at,time_zone,location_is_exact,delta,positional_accuracy,private_latitude,private_longitude,geoprivacy,quality_grade,positioning_method,positioning_device,out_of_range,license,uri,observation_photos_count,comments_count,zic_time_zone,oauth_application_id,observation_sounds_count,identifications_count,captive,community_taxon_id,site_id,old_uuid,public_positional_accuracy,mappable,cached_votes_total,last_indexed_at,private_place_guess,uuid,taxon_geoprivacy,short_description,user_login,iconic_taxon_name,tag_list,faves_count,created_at_utc,updated_at_utc,time_observed_at_utc,owners_identification_from_vision,user,taxon_name,rank,ancestry,common_name,common_name_id,common_name_name,is_valid,lexicon,rank_level,medium_photo_url,coordinates_obscured,tree_health
10,10,71045711,2021-03-11,blank,47.0658322004,-122.9642620009,,,Western Redcedar,3353204,48252,2021-03-12T05:31:22.945Z,2021-03-12T05:31:23.004Z,"Thurston County, WA, USA",False,2021/03/11 3:41 PM PST,47126,0,0,2021-03-11T23:41:00.000Z,Pacific Time (US & Canada),False,False,4.0,,,,needs_id,,,,CC-BY-NC,https://www.inaturalist.org/observations/71045711,1,0,America/Los_Angeles,,0,1,False,,1.0,,4.0,True,0,2021-03-12T05:31:24.856Z,,58e3caea-fef8-4322-ab44-d0e002bb9ad1,open,,liamhutcheson,Plantae,[],0,2021-03-12T05:31:22.945Z,2021-03-12T05:31:23.004Z,2021-03-11T23:41:00.000Z,False,"{'login': 'liamhutcheson', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/3353204/thumb.jpg?1615255965'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115605766/medium.jpeg?1615526857,,healthy
11,11,71045707,2021-03-11,blank,47.06574633100001,-122.9643317383,,,Western Redcedar,3353204,48252,2021-03-12T05:31:21.866Z,2021-03-12T05:31:21.912Z,"Thurston County, WA, USA",False,2021/03/11 3:42 PM PST,47126,0,0,2021-03-11T23:42:00.000Z,Pacific Time (US & Canada),False,False,4.0,,,,needs_id,,,,CC-BY-NC,https://www.inaturalist.org/observations/71045707,1,0,America/Los_Angeles,,0,1,False,,1.0,,4.0,True,0,2021-03-13T03:47:20.269Z,,22f04b08-e746-43ae-928b-5cae031c17be,open,,liamhutcheson,Plantae,[],0,2021-03-12T05:31:21.866Z,2021-03-12T05:31:21.912Z,2021-03-11T23:42:00.000Z,True,"{'login': 'liamhutcheson', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/3353204/thumb.jpg?1615255965'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115605697/medium.jpeg?1615526815,,healthy
12,12,71045704,2021-03-11,blank,47.0659224779,-122.96444703549999,,,Western Redcedar,3353204,48252,2021-03-12T05:31:21.115Z,2021-03-12T05:31:21.171Z,"Thurston County, WA, USA",False,2021/03/11 3:45 PM PST,47126,0,0,2021-03-11T23:45:00.000Z,Pacific Time (US & Canada),False,False,15.0,,,,needs_id,,,,CC-BY-NC,https://www.inaturalist.org/observations/71045704,1,0,America/Los_Angeles,,0,1,False,,1.0,,15.0,True,0,2021-03-13T03:47:20.314Z,,d55c04c9-25e1-4633-84f5-1e587615bb45,open,,liamhutcheson,Plantae,[],0,2021-03-12T05:31:21.115Z,2021-03-12T05:31:21.171Z,2021-03-11T23:45:00.000Z,True,"{'login': 'liamhutcheson', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/3353204/thumb.jpg?1615255965'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115605669/medium.jpeg?1615526786,,unhealthy
13,13,71038630,2021-03-11,blank,50.332094564399995,-119.1852212478,,,western redcedar,3948139,48252,2021-03-12T02:41:30.350Z,2021-03-12T05:10:12.226Z,"North Okanagan, BC, Canada",False,2021/03/11 4:30 PM PST,47126,1,0,2021-03-12T00:30:00.000Z,Pacific Time (US & Canada),False,False,8.0,,,,research,,,,CC-BY-NC,https://www.inaturalist.org/observations/71038630,3,0,America/Los_Angeles,,0,2,False,48252.0,1.0,,8.0,True,0,2021-03-12T05:10:17.383Z,,76c0f394-6100-43ff-b05c-743620035948,open,,ethanheckrodt,Plantae,[],0,2021-03-12T02:41:30.350Z,2021-03-12T05:10:12.226Z,2021-03-12T00:30:00.000Z,True,"{'login': 'ethanheckrodt', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/3948139/thumb.jpg?1610684852'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115590600/medium.jpeg?1615515895,,healthy
14,14,71034202,2021-03-11,blank,49.2450397171,-122.92955349469999,,,Thuja plicata,2036792,48252,2021-03-12T01:06:48.949Z,2021-03-12T01:06:49.004Z,"Burnaby, BC, Canada",False,2021/03/11 3:21 PM PST,47126,0,0,2021-03-11T23:21:00.000Z,Pacific Time (US & Canada),False,False,31.0,,,,needs_id,,,,CC-BY-NC,https://www.inaturalist.org/observations/71034202,1,0,America/Los_Angeles,,0,1,False,,1.0,,31.0,True,0,2021-03-12T03:59:23.718Z,,2331bce7-68ed-467f-bea0-15ed00e1c447,open,,coprinus,Plantae,[],0,2021-03-12T01:06:48.949Z,2021-03-12T01:06:49.004Z,2021-03-11T23:21:00.000Z,True,"{'login': 'coprinus', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/2036792/thumb.jpg?1596060958'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115582945/medium.jpeg?1615510945,,healthy
15,15,71026375,2021-03-11,blank,48.477005,-123.3518916667,,,,3950470,48252,2021-03-11T22:31:49.643Z,2021-03-11T22:32:21.959Z,"Mount Douglas Crossing Rd, Victoria, BC, CA",False,Thu Mar 11 2021 12:59:29 GMT-0800 (PST),47126,0,0,2021-03-11T12:59:29.000Z,UTC,False,False,24.0,,,,needs_id,,,,CC-BY-NC,https://www.inaturalist.org/observations/71026375,4,0,Etc/UTC,3.0,0,1,False,,5.0,,24.0,True,0,2021-03-12T03:42:05.737Z,,66149f41-76b2-4c1e-a7e4-9baa99e2420d,open,,madelinehart,Plantae,[],0,2021-03-11T22:31:49.643Z,2021-03-11T22:32:21.959Z,2021-03-11T12:59:29.000Z,True,"{'login': 'madelinehart', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/3950470/thumb.jpg?1610666219'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115569115/medium.jpg?1615501917,,healthy
16,16,71021915,2013-05-25,052513,47.4302153054,-122.2128958749,,,Western Redcedar,134993,48252,2021-03-11T21:20:29.647Z,2021-03-11T21:20:29.706Z,"Renton, WA, USA",False,2013/05/25 8:06 PM PDT,47126,0,0,2013-05-26T03:06:00.000Z,Pacific Time (US & Canada),False,False,446.0,,,,needs_id,,,,CC-BY-NC-ND,https://www.inaturalist.org/observations/71021915,1,0,America/Los_Angeles,,0,1,False,,1.0,,446.0,True,0,2021-03-12T03:31:41.487Z,,351a8688-3557-4560-8d10-efb5088812e4,open,052513,natureguy,Plantae,[],0,2021-03-11T21:20:29.647Z,2021-03-11T21:20:29.706Z,2013-05-26T03:06:00.000Z,False,"{'login': 'natureguy', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/134993/thumb.jpg?1562937450'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115561189/medium.jpeg?1615497509,,healthy
17,17,71021017,2021-03-11,blank,49.0344074386,-122.6853695443,,,,4087933,48252,2021-03-11T21:04:27.730Z,2021-03-11T21:04:27.797Z,"Hazelmere, Surrey, BC, CA",False,Thu Mar 11 2021 13:03:27 GMT-0800 (PST),47126,0,0,2021-03-11T13:03:27.000Z,UTC,False,False,4.0,,,,casual,,,,CC-BY-NC,https://www.inaturalist.org/observations/71021017,0,0,Etc/UTC,3.0,0,1,False,,5.0,,4.0,True,0,2021-03-12T03:28:56.188Z,,45f2ded3-2ac9-496f-b18b-f0ac9787c8f1,open,,lorr-pain_vcs,Plantae,[],0,2021-03-11T21:04:27.730Z,2021-03-11T21:04:27.797Z,2021-03-11T13:03:27.000Z,True,"{'login': 'lorr-pain_vcs', 'user_icon_url': None}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,,,healthy
18,18,71020958,2021-03-11,blank,49.35677324979999,-123.1108113737,,,western redcedar,4084848,48252,2021-03-11T21:03:32.916Z,2021-03-12T00:50:24.430Z,"Greater Vancouver, CA-BC, CA",False,Thu Mar 11 2021 11:12:03 GMT-0800 (PST),47126,1,0,2021-03-11T11:12:03.000Z,UTC,False,False,175.0,,,,needs_id,,,,,https://www.inaturalist.org/observations/71020958,1,0,Etc/UTC,3.0,0,2,False,47375.0,5.0,,175.0,True,0,2021-03-12T03:57:29.523Z,,a6bf84d3-ae3e-4b45-9bbf-73aad6bb0fd5,open,,henry-vcs,Plantae,[],0,2021-03-11T21:03:32.916Z,2021-03-12T00:50:24.430Z,2021-03-11T11:12:03.000Z,,"{'login': 'henry-vcs', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/4084848/thumb.png?1615185311'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://static.inaturalist.org/photos/115559932/medium.jpg?1615496644,,brown
19,19,71014337,2021-03-10,blank,48.941138333299996,-125.5532933333,,,western redcedar,408815,48252,2021-03-11T19:13:15.848Z,2021-03-12T18:07:04.140Z,"Alberni-Clayoquot, British Columbia, Canada",False,2021/03/10 11:12 AM PST,47126,1,0,2021-03-10T19:12:00.000Z,Pacific Time (US & Canada),False,False,,,,,research,,,,CC-BY-NC,https://www.inaturalist.org/observations/71014337,1,0,America/Los_Angeles,,0,2,False,48252.0,1.0,,,True,0,2021-03-12T18:07:08.907Z,,11e39639-2077-461f-97f8-542aa6086d26,open,,iancruickshank,Plantae,[],0,2021-03-11T19:13:15.848Z,2021-03-12T18:07:04.140Z,2021-03-10T19:12:00.000Z,True,"{'login': 'iancruickshank', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/408815/thumb.jpg?1500588801'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115547749/medium.jpeg?1615489223,,unhealthy
20,20,71009768,2021-02-25,blank,47.3767866667,8.4208833333,,,,3801122,48252,2021-03-11T17:54:12.232Z,2021-03-11T17:54:32.183Z,"Reppischtalstrasse, Urdorf, Zürich, CH",False,Thu Feb 25 2021 16:23:02 GMT+0100 (GMT+1),47126,0,0,2021-02-25T15:23:02.000Z,Amsterdam,False,False,9.0,,,,casual,,,,CC-BY-NC,https://www.inaturalist.org/observations/71009768,1,0,Europe/Amsterdam,3.0,0,1,True,,1.0,,9.0,True,0,2021-03-11T22:24:52.081Z,,e0d27575-c3d1-4d4e-a7e5-00b464360d46,open,,sparkandy,Plantae,[],0,2021-03-11T17:54:12.232Z,2021-03-11T17:54:32.183Z,2021-02-25T15:23:02.000Z,True,"{'login': 'sparkandy', 'user_icon_url': None}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115541183/medium.jpg?1615485268,,healthy
21,21,70985977,2021-03-10,"Mundy Park, Coquitlam, BC, Canada",49.2511583333,-122.8184138889,,,western redcedar,459348,48252,2021-03-11T05:56:06.509Z,2021-03-11T06:01:40.816Z,"Coquitlam, BC, Canada",False,2021/03/10 2:51 PM PST,47126,1,0,2021-03-10T22:51:00.000Z,Pacific Time (US & Canada),False,False,4.0,,,,research,,,,CC-BY-NC,https://www.inaturalist.org/observations/70985977,1,0,America/Los_Angeles,,0,2,False,48252.0,5.0,,4.0,True,0,2021-03-11T06:01:43.815Z,,b48fc139-66bb-4665-a559-14b0bc82ed0d,open,"Mundy Park, Coquitlam, BC, Canada",johndreynolds,Plantae,"['2021', 'BC', 'Canada', 'Vancouver']",0,2021-03-11T05:56:06.509Z,2021-03-11T06:01:40.816Z,2021-03-10T22:51:00.000Z,False,"{'login': 'johndreynolds', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/459348/thumb.jpg?1594481478'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115496991/medium.jpg?1615440825,,healthy
22,22,70985976,2021-03-10,"Mundy Park, Coquitlam, BC, Canada",49.2520861111,-122.817375,,,western redcedar,459348,48252,2021-03-11T05:56:06.483Z,2021-03-11T06:01:53.221Z,"Greater Vancouver, British Columbia, Canada",False,2021/03/10 2:46 PM PST,47126,1,0,2021-03-10T22:46:00.000Z,Pacific Time (US & Canada),False,False,6.0,,,,research,,,,CC-BY-NC,https://www.inaturalist.org/observations/70985976,1,0,America/Los_Angeles,,0,2,False,48252.0,5.0,,6.0,True,0,2021-03-11T06:01:55.935Z,,c9d84a57-11ce-4b13-afb7-669e80fbffd9,open,"Mundy Park, Coquitlam, BC, Canada",johndreynolds,Plantae,"['2021', 'BC', 'Canada', 'Vancouver']",0,2021-03-11T05:56:06.483Z,2021-03-11T06:01:53.221Z,2021-03-10T22:46:00.000Z,False,"{'login': 'johndreynolds', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/459348/thumb.jpg?1594481478'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115496970/medium.jpg?1615440811,,healthy
23,23,70985974,2021-03-10,"Mundy Park, Coquitlam, BC, Canada",49.2500027778,-122.8224861111,,,western redcedar,459348,48252,2021-03-11T05:56:05.841Z,2021-03-11T06:01:50.143Z,"Coquitlam, BC, Canada",False,2021/03/10 3:07 PM PST,47126,1,0,2021-03-10T23:07:00.000Z,Pacific Time (US & Canada),False,False,6.0,,,,research,,,,CC-BY-NC,https://www.inaturalist.org/observations/70985974,1,0,America/Los_Angeles,,0,2,False,48252.0,5.0,,6.0,True,0,2021-03-11T06:01:54.030Z,,d4c4e034-79eb-4a52-9629-f3a597fe2644,open,"Mundy Park, Coquitlam, BC, Canada",johndreynolds,Plantae,"['2021', 'BC', 'Canada', 'Vancouver']",0,2021-03-11T05:56:05.841Z,2021-03-11T06:01:50.143Z,2021-03-10T23:07:00.000Z,False,"{'login': 'johndreynolds', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/459348/thumb.jpg?1594481478'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115496944/medium.jpg?1615440793,,healthy
24,24,70985973,2021-03-10,"Mundy Park, Coquitlam, BC, Canada",49.2529555556,-122.8199916667,,,western redcedar,459348,48252,2021-03-11T05:56:05.729Z,2021-03-11T06:01:47.303Z,"Coquitlam, BC, Canada",False,2021/03/10 3:29 PM PST,47126,1,0,2021-03-10T23:29:00.000Z,Pacific Time (US & Canada),False,False,7.0,,,,research,,,,CC-BY-NC,https://www.inaturalist.org/observations/70985973,1,0,America/Los_Angeles,,0,2,False,48252.0,5.0,,7.0,True,0,2021-03-11T06:01:49.778Z,,f5d12167-97d9-4748-9192-6cf2d4600928,open,"Mundy Park, Coquitlam, BC, Canada",johndreynolds,Plantae,"['2021', 'BC', 'Canada', 'Vancouver']",0,2021-03-11T05:56:05.729Z,2021-03-11T06:01:47.303Z,2021-03-10T23:29:00.000Z,False,"{'login': 'johndreynolds', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/459348/thumb.jpg?1594481478'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115496926/medium.jpg?1615440776,,healthy
